plant_code,plant_name,gen_id,op_year,capacity,city,state,latitude,longitude
6001,Joseph M Farley,1,1977,888.2,Columbia,AL,31.223099999999999,-85.111599999999996
6008,Palo Verde,1,1986,1403.2,Wintersburg,AZ,33.388100000000001,-112.8617
8055,Arkansas Nuclear One,1,1974,902.5,Russellville,AR,35.311,-93.235100000000003
6011,Calvert Cliffs Nuclear Power Plant,1,1975,918,Lusby,MD,38.434399999999997,-76.441699999999997
3251,H B Robinson,2,1971,768.6,Hartsville,SC,34.401699999999998,-80.158900000000003
6014,Brunswick Nuclear,2,1975,1001.6,Southport,NC,33.959699999999998,-78.011399999999995
6015,Harris,1,1987,950.9,New Hill,NC,35.633400000000002,-78.955600000000004
1729,Fermi,2,1988,1217,Fenchtown Twp,MI,41.963099999999997,-83.258099999999999
566,Millstone,2,1975,909.9,Waterford,CT,41.310699999999997,-72.167699999999996
3265,Oconee,1,1973,886.7,Seneca,SC,34.793900000000001,-82.898600000000002
6036,Catawba,1,1985,1205.1,York,SC,35.051400000000001,-81.069400000000002
6038,McGuire,1,1981,1220.3,Huntersville,NC,35.433100000000003,-80.948599999999999
2497,Indian Point 2,2,1973,1299,Buchanan,NY,41.270555999999999,-73.952699999999993
8907,Indian Point 3,3,1976,1012,Buchanan,NY,41.270600000000002,-73.952600000000004
621,Turkey Point,3,1972,877.2,Homestead,FL,25.435600000000001,-80.330799999999996
6045,St Lucie,1,1976,1080,Jensen Beach,FL,27.348610999999998,-80.246388999999994
6115,Seabrook,1,1990,1242,Seabrook,NH,42.899166999999998,-70.848889
649,Vogtle,1,1987,1160,Waynesboro,GA,33.142699999999998,-81.762500000000003
6051,Edwin I Hatch,1,1975,857.1,Baxley,GA,31.934200000000001,-82.344700000000003
6000,Donald C Cook,1,1975,1152,Bridgman,MI,41.975603999999997,-86.565206000000003
4270,Waterford 3,3,1985,1199.8,Killona,LA,29.995266999999998,-90.471581
6072,Grand Gulf,1,1985,1440,Port Gibson,MS,32.008099999999999,-91.047799999999995
8036,Cooper Nuclear Station,1,1974,801,Brownville,NE,40.3628,-95.640799999999999
2589,Nine Mile Point Nuclear Station,1,1969,641.8,Lycoming,NY,43.521099999999997,-76.41
1922,Monticello Nuclear Facility,1,1971,685,Monticello,MN,45.333799999999997,-93.849299999999999
1925,Prairie Island,1,1974,593.1,Welch,MN,44.622,-92.633300000000006
6103,Susquehanna Steam Electric Station,1,1983,1298,Berwick,PA,41.091900000000003,-76.146199999999993
6099,Diablo Canyon,1,1985,1159,Avila Beach,CA,35.211536000000002,-120.855542
2410,PSEG Salem Generating Station,1,1977,1170,Hancocks Bridge,NJ,39.462499999999999,-75.535799999999995
6118,PSEG Hope Creek Generating Station,1,1986,1290.7,Hancocks Bridge,NJ,39.4666,-75.537700000000001
6127,V C Summer,1,1984,1029.6,Jenkinsville,SC,34.298299999999998,-81.315299999999993
46,Browns Ferry,1,1974,1152,Decatur,AL,34.7042,-87.118899999999996
6152,Sequoyah,1,1981,1220.5,Soddy Daisy,TN,35.226700000000001,-85.091700000000003
7722,Watts Bar Nuclear Plant,1,1996,1269.9,Spring City,TN,35.6021,-84.789500000000004
6153,Callaway,1,1984,1235.8,Fulton,MO,38.758918999999999,-91.778841
3806,Surry,1,1972,847.5,Surry,VA,37.1661,-76.698599999999999
6168,North Anna,1,1978,979.7,Mineral,VA,38.06,-77.789699999999996
371,Columbia Generating Station,2,1984,1200,Richland,WA,46.4711,-119.3339
210,Wolf Creek Generating Station,1,1985,1267.7,Burlington,KS,38.239260000000002,-95.689779999999999
6251,South Texas Project,1,1988,1354.3,Wadsworth,TX,28.795000000000002,-96.048100000000005
1590,Pilgrim Nuclear Power Station,1,1972,670,Plymouth,MA,41.943800000000003,-70.578000000000003
6122,R E Ginna Nuclear Power Plant,1,1970,614,Ontario,NY,43.277700000000003,-77.309899999999999
6020,Perry,1,1987,1311.6,Perry,OH,41.800600000000003,-81.143900000000002
6040,Beaver Valley,1,1976,923.4,Shippingport,PA,40.621899999999997,-80.433599999999998
6149,Davis Besse,1,1977,925.2,Oak Harbor,OH,41.596699999999998,-83.086100000000002
1060,Duane Arnold Energy Center,1,1975,679.5,Palo,IA,42.101100000000002,-91.778099999999995
4046,Point Beach Nuclear Plant,1,1970,643,Two Rivers,WI,44.2806,-87.536900000000003
6462,River Bend,1,1986,1035.9,St. Francisville,LA,30.757000000000001,-91.332700000000003
869,Dresden Generating Station,2,1970,1009.3,Morris,IL,41.39,-88.27
2388,Oyster Creek,1,1969,550,Forked River,NJ,39.814300000000003,-74.206199999999995
3166,Peach Bottom,2,1974,1407.6,Delta,PA,39.758935999999999,-76.268742000000003
6022,Braidwood Generation Station,1,1988,1224.9,Braceville,IL,41.243499999999997,-88.2286
6023,Byron Generating Station,1,1985,1224.9,Byron,IL,42.074199999999998,-89.281899999999993
6026,LaSalle Generating Station,1,1984,1170,Marseilles,IL,41.245497999999998,-88.669066000000001
6105,Limerick,1,1986,1138.5,Sanatoga,PA,40.224302999999999,-75.587440000000001
8011,Three Mile Island,1,1974,980.8,Middletown,PA,40.151499999999999,-76.723200000000006
6145,Comanche Peak,1,1990,1215,Glen Rose,TX,32.298364999999997,-97.785515000000004
1715,Palisades,1,1972,811.8,Covert,MI,42.323,-86.314599999999999
6110,James A Fitzpatrick,1,1976,882,Lycoming,NY,43.521389999999997,-76.408394000000001
3751,Vermont Yankee,1,1972,563.4,Vernon,VT,42.778599999999997,-72.513300000000001
628,Crystal River,3,1977,890.4,Crystal River,FL,28.965599999999998,-82.697699999999998
2289,Fort Calhoun,1,1973,502,Blair,NE,41.520522,-96.077511000000001
360,San Onofre Nuclear Generating Station,2,1983,1127,San Clemente,CA,33.368794000000001,-117.55491600000001
8024,Kewaunee,1,1974,560.1,Kewaunee,WI,44.342199999999998,-87.535799999999995
204,Clinton Power Station,1,1987,1138.3,Clinton,IL,40.171900000000001,-88.8339
880,Quad Cities Generating Station,1,1972,1009.3,Cordova,IL,41.726111000000003,-90.310277999999997
61075,UAMPS Carbon Free Power Plant,NPM1,2026,50,Idaho Falls,ID,43.519584999999999,-112.046184
